GeneID,GSM3528727,GSM3528728,GSM3528729,GSM3528730,GSM3528731,GSM3528732,GSM3528733,GSM3528734,GSM3528735,GSM3528736,GSM3528737,GSM3528738,GSM3528739,GSM3528740,GSM3528741,GSM3528742,GSM3528743,GSM3528744,GSM3528745,GSM3528746,GSM3528747,GSM3528748
ENSG00000131375,5436,3654,4228,4681,3201,2270,1279,1115,1003,1828,939,1668,2171,5327,4543,2370,2412,3672,2335,3460,2662,2485
ENSG00000131378,618,225,340,393,176,568,1683,214,203,597,254,1128,624,2630,1027,312,435,2825,947,1355,2253,3127
ENSG00000131379,36,32,26,22,12,10,13,21,8,7,1,25,15,27,36,51,19,5,11,32,25,28
ENSG00000131381,8232,5308,6996,7938,5633,2659,1540,1465,1719,2595,1589,2123,2985,7853,5438,2671,2989,3734,2763,3721,2619,2974
ENSG00000131386,61,94,83,105,21,26,20,27,14,5,12,200,42,286,256,367,212,492,257,435,143,93
ENSG00000131389,2807,1330,2577,1497,1907,1266,682,689,627,1025,538,388,1301,936,1495,981,323,867,410,610,769,3248
ENSG00000131398,36,32,47,112,59,3,0,22,15,4,2,7,7,3,37,5,7,11,6,79,1,25
ENSG00000131400,7,16,14,13,31,6,0,6,3,4,1,8,8,8,22,12,6,1,6,13,0,2
ENSG00000131401,6,2,8,14,22,3,0,2,2,8,0,2,2,4,6,1,2,2,2,0,0,0
ENSG00000131408,453,158,350,520,391,63,59,54,78,275,91,363,288,1003,624,373,448,624,464,639,257,572
ENSG00000131409,898,340,673,1072,731,47,0,43,199,301,155,136,466,1231,652,424,259,762,467,570,16,475
ENSG00000131435,43,60,78,27,81,27,36,17,53,20,25,361,177,851,140,85,438,486,476,172,69,747
ENSG00000131437,15116,11562,10898,11026,8127,5995,3739,3075,3553,2407,3885,1646,4021,6822,8269,5818,2871,4996,2707,4356,4703,2518
ENSG00000131446,1100,600,898,1266,930,269,333,227,234,896,198,381,475,1226,658,387,521,762,483,615,545,698
ENSG00000131459,289,322,290,237,356,203,97,68,86,413,67,874,103,430,388,793,645,636,815,801,147,822
ENSG00000131462,1858,1047,1758,1521,1486,909,844,431,473,2057,624,1073,1214,2143,1596,1186,1163,939,842,1681,717,1135
ENSG00000131467,4298,1735,3766,2979,2404,2194,1346,1074,872,2697,1048,2346,2351,4746,2963,2356,2312,2167,1838,3060,1431,2094
