Gene_ID,metafc,metap,Gene_Symbol,Gene_Description
ENSG00000147010,0.102081727597949,0.774315547826067,SH3KBP1,SH3 domain containing kinase binding protein 1
ENSG00000147027,-0.557211528382016,0.0210463244895054,TMEM47,transmembrane protein 47
ENSG00000147036,0.275332753473429,0.939036337957565,LANCL3,LanC like family member 3
ENSG00000147041,-0.227864954914001,0.885834668773074,SYTL5,synaptotagmin like 5
ENSG00000147044,-0.0893629355640696,0.979346963470821,CASK,calcium/calmodulin dependent serine protein kinase
ENSG00000147050,-0.0539903499957627,0.974020826301669,KDM6A,lysine demethylase 6A
ENSG00000147059,0.0012826237329425,0.631773033832031,SPIN2A,spindlin family member 2A
ENSG00000147065,-0.104829509704852,0.586168021893755,MSN,moesin
ENSG00000147082,-0.125364612572029,0.975730640791054,CCNB3,cyclin B3
ENSG00000147099,-0.0832701248484324,0.861751697639283,HDAC8,histone deacetylase 8
ENSG00000147100,-0.0774845449987967,0.531296424210972,SLC16A2,solute carrier family 16 member 2
ENSG00000147113,0.15412748557969,0.790624447803864,DIPK2B,divergent protein kinase domain 2B
ENSG00000147117,-0.0311871125153483,0.618398076263732,ZNF157,zinc finger protein 157
ENSG00000147118,0.00954641670445925,0.930122087800972,ZNF182,zinc finger protein 182
ENSG00000147119,-0.163004156709655,0.580945094339974,CHST7,carbohydrate sulfotransferase 7
ENSG00000147121,-0.121648145072316,0.315137825667608,KRBOX4,KRAB box domain containing 4
ENSG00000147123,0.0364840939804783,0.973630185868148,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11
ENSG00000147124,-0.0504609104831271,0.949617490817672,ZNF41,zinc finger protein 41
ENSG00000147127,0.0095005887087705,0.922908904876663,RAB41,"RAB41, member RAS oncogene family"
ENSG00000147130,-0.0303348280360136,0.850375040671471,ZMYM3,zinc finger MYM-type containing 3
ENSG00000147133,0.0765515983511381,0.855482294580129,TAF1,TATA-box binding protein associated factor 1
ENSG00000147140,-0.0639915205665985,0.933185720086467,NONO,non-POU domain containing octamer binding
ENSG00000147144,0.012441559280482,0.998785566233898,CCDC120,coiled-coil domain containing 120
ENSG00000147145,-0.0800116891783156,0.587618715053699,LPAR4,lysophosphatidic acid receptor 4
ENSG00000147155,0.214529932676578,0.265767204888315,EBP,EBP cholestenol delta-isomerase
ENSG00000147162,-0.02658981783008,0.979983264917276,OGT,O-linked N-acetylglucosamine (GlcNAc) transferase
ENSG00000147164,0.0426115290091772,0.924751978844644,SNX12,sorting nexin 12
ENSG00000147166,0.0385839836102989,0.983725056122299,ITGB1BP2,integrin subunit beta 1 binding protein 2
ENSG00000147168,0.0096484469982605,0.853759658328659,IL2RG,interleukin 2 receptor subunit gamma
ENSG00000147174,0.0328189217832474,0.99582143101454,GCNA,germ cell nuclear acidic peptidase
ENSG00000147180,-0.021527245893035,0.993126052850001,ZNF711,zinc finger protein 711
ENSG00000147202,-0.118873612653721,0.975382918296606,DIAPH2,diaphanous related formin 2
ENSG00000147224,0.0604625804092316,0.72740183740416,PRPS1,phosphoribosyl pyrophosphate synthetase 1
ENSG00000147231,-0.819377602287035,0.187837283919028,RADX,"RPA1 related single stranded DNA binding protein, X-linked"
ENSG00000147234,0.0115353450137921,0.999881781841767,FRMPD3,FERM and PDZ domain containing 3
ENSG00000147246,-1.08417203834152,0.0104582551201818,HTR2C,5-hydroxytryptamine receptor 2C
ENSG00000147251,-0.154123593613128,0.7136785790873,DOCK11,dedicator of cytokinesis 11
ENSG00000147255,-1.10686959514752,0.113803945144086,IGSF1,immunoglobulin superfamily member 1
ENSG00000147256,-0.922841486549087,0.0793698335337677,ARHGAP36,Rho GTPase activating protein 36
